tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4
-0.008353743121721945,-0.007913166145571334,0.011417035422788116,0.016521028920650674,0.00017397184896469147,0.010794054984712748,-0.00017078188314689893,-0.010925449857795817,0.004574673278222626,0.012200131094170497,0.013216275054920783,0.015790260727083113
0.014782966318373789,-0.0012670487437822706,-0.008031114705481316,-0.014150429091351871,0.01752124359293651,-0.015936187935135338,-0.014381584445443636,-0.00011575245138110828,-0.004067914257028464,0.012303542642116982,0.001354235770380026,0.009362556905497733
0.013570929552655635,0.013121398240468696,-0.0080349871305823,-0.014715037383893171,-0.0045849150873433905,0.0009825304477544398,-0.0006283962463562463,0.007609634236409993,-0.013198524976240284,0.00881298676679171,0.011465957351057083,-0.015138022632965167
-0.016531383341635782,0.008822886660928491,-0.00278354456817916,-0.010609008755539738,0.002842503800628919,0.005139038590725233,-0.01591046231194681,0.005834142395601751,-0.0028730440400215576,0.016472500865433407,0.014745425945904863,-0.005917504621697235
-0.007715430660445603,0.008601081774677735,-0.0011166964916020027,0.016801142406523903,-0.0029807530371684164,0.0028744967498618786,-0.013763432018771801,0.016066358267513875,0.009922255405924351,-0.002536100107162839,0.004811325461218068,0.010790627727799018
0.006378360586216445,0.014072452781384854,-0.005345431102725798,-0.0035815448925722968,0.009036677782168698,-0.01402125207055748,0.013385333064004962,-0.0150603457068418,-0.009597622122458817,-0.016302094722602422,0.0006521093564882694,-0.002008052148400798
0.005324389041149962,-0.005414201389239855,0.0061234807697434345,0.013012474174957005,-0.01798351645940813,0.0146741692627995,0.0009508677760474153,0.015611435367024504,-0.012657085970286761,-0.004631823472194195,-0.004483441311244412,-0.005410195421565368
0.006211729299829955,-0.014114861898977388,0.001711619005932863,0.009554743225336528,-0.006986957614702908,0.011570148644730884,0.0014660703254018338,-0.0009002198886467148,-0.005601440980504402,0.003945552340921334,0.007575106521964377,-0.005267467036051047
-0.002042538311821462,-0.004529785338695551,-0.0137522378074,-0.005528731767323494,0.003873034742487471,-0.003702978472196735,0.00027240421438025434,-0.003296694483478545,-0.00930899303671534,-0.010014397939765211,-0.013129294673048877,-0.0015519436993914372
0.016742552995751555,-0.013988343362422152,0.016481299987484672,0.008720839971081692,0.012997817367987196,-0.017121023432385703,0.0090612091356415,-0.014516751574376204,-0.0054201729304325,0.0007079555558708506,0.009737383816032034,-0.014904302134401817
0.00247997155295876,0.005399891041860224,0.003628682553314392,-0.017199088051794528,-0.01891857207694541,0.012643938461740748,0.003073348336340752,0.017143329224750196,-0.010399003227370446,0.001389628422698833,-0.013146800813801589,0.008339422461340071
0.0004787732920666917,0.010080616828636842,0.010374700424915496,0.005539820749173882,0.023367882978533698,-0.01669033185801942,-0.013840975230272537,-0.010057538022353265,-0.006017527320949582,-0.012814684815040885,-0.006412477521033461,0.0037871902205100253
-0.013248243137835245,-0.008426061803264781,-0.01615443562185336,-0.0038586133163565914,3.034022175631311e-05,-0.0054244094429504956,-0.0007062530493435036,0.006077961406009383,0.01366306794984399,0.012454202721572633,-0.008061510912611865,-0.01631374411045724
0.012039034215258204,0.011176116908461979,-0.009845491388145793,0.017053598454704017,0.015179891355934816,-0.012900895686813641,0.0019153795564690232,-0.015381199920342632,0.003187104750536645,-0.008897912109237321,-0.0062229130476210625,-0.0019256051264156951
-0.015015590193083078,-0.008494994140493971,0.013495691309760756,0.007287678694467512,0.01706744050747693,-0.013765841040768076,-0.0026044841274950954,-0.01327496847987092,-0.006297646319737895,-3.0169651883181084e-05,0.0026984837863946016,0.005447387736137999
0.006459140924380706,-0.0031932019301177885,-0.0017287676298521101,0.013084906685126643,-0.005506317107183909,0.0066420302617757835,-0.0036402382065410816,0.006562408156573246,0.006785971600033688,0.003659682389868748,-0.002066261042127609,0.013496989610731957
